lat,lon,pml_52,pml_60,pml_70,pml_77,ins_52,ins_60,ins_70,ins_77,risk_52,risk_60,risk_70,risk_77,gc_check
34.4,-94.0,0.27,0.21,0.1,0.05,2.150908,1.654729,0.805392,0.433857,12.988544,9.664704,5.267008,3.272704,19.01178
35.3,-90.4,0.22,0.16,0.07,0.04,1.760996,1.291184,0.55131,0.304419,8.335168,6.13632,3.272704,1.994304,14.83488
35.3,-91.3,0.24,0.18,0.08,0.04,1.904816,1.425416,0.645592,0.352359,8.386304,6.187456,3.374976,2.096576,16.37712
35.3,-92.2,0.24,0.18,0.08,0.05,1.94157,1.459773,0.669562,0.364344,11.198784,8.284032,4.499968,2.81248,16.77186
35.3,-93.1,0.26,0.2,0.09,0.05,2.075802,1.584417,0.756653,0.409088,12.784,9.511296,5.164736,3.221568,18.20394
35.3,-94.0,0.27,0.21,0.1,0.05,2.159697,1.662719,0.810985,0.437053,13.857856,10.278336,5.573824,3.477248,19.10358
36.2,-90.4,0.23,0.17,0.07,0.04,1.82172,1.347913,0.59126,0.324394,9.511296,7.005632,3.784064,2.352256,15.48666
36.2,-91.3,0.25,0.19,0.09,0.05,1.967138,1.483743,0.685542,0.373133,11.045376,8.18176,4.448832,2.761344,17.04726
36.2,-92.2,0.25,0.19,0.09,0.05,2.018274,1.530884,0.7191,0.389912,11.301056,8.43744,4.60224,2.914752,17.58888
36.2,-93.1,0.25,0.19,0.09,0.05,2.016676,1.529286,0.717502,0.389113,12.579456,9.409024,5.1136,3.221568,17.57052
36.2,-94.0,0.27,0.21,0.1,0.06,2.194853,1.695478,0.834156,0.448239,14.011264,10.48288,5.778368,3.630656,19.47996
31.7,-109.3,0.17,0.13,0.05,0.03,1.383069,1.017926,0.41548,0.202946,1.53408,1.176128,0.664768,0.460224,11.69532
31.7,-110.2,0.23,0.17,0.08,0.04,1.84569,1.370285,0.606441,0.332384,3.732928,2.914752,1.738624,1.124992,15.7437
31.7,-111.1,0.26,0.2,0.1,0.05,2.08539,1.593206,0.762246,0.412284,4.653376,3.681792,2.198848,1.482944,18.30492
31.7,-112.0,0.25,0.19,0.09,0.05,1.977525,1.493331,0.692733,0.376329,2.965888,2.403392,1.431808,0.971584,17.15742
32.6,-109.3,0.22,0.16,0.07,0.04,1.770584,1.300772,0.557702,0.307615,2.30112,1.840896,1.073856,0.715904,14.94504
32.6,-110.2,0.28,0.21,0.11,0.06,2.21323,1.711458,0.845342,0.454631,5.215872,4.34656,2.710208,1.840896,19.66356
32.6,-111.1,0.28,0.21,0.11,0.06,2.219622,1.714654,0.847739,0.456229,5.011328,4.193152,2.607936,1.78976,19.70028
32.6,-112.0,0.28,0.21,0.11,0.06,2.211632,1.710659,0.844543,0.453832,3.06816,2.505664,1.53408,1.02272,19.65438
32.6,-112.9,0.22,0.16,0.07,0.04,1.769785,1.299973,0.557702,0.307615,1.176128,0.971584,0.613632,0.409088,14.93586
32.6,-113.8,0.02,0.01,0.0,0.0,0.130237,0.082297,0.0,0.0,0.306816,0.25568,0.153408,0.102272,0.94554
32.6,-114.7,0.02,0.01,0.0,0.0,0.127041,0.0799,0.0,0.0,0.306816,0.204544,0.153408,0.102272,0.918
33.5,-109.3,0.22,0.16,0.07,0.04,1.78177,1.311159,0.564893,0.31161,1.585216,1.329536,0.818176,0.562496,15.06438
33.5,-110.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.062464,4.448832,2.914752,2.04544,0.0
33.5,-111.1,0.28,0.21,0.11,0.06,2.214828,1.712257,0.845342,0.454631,5.318144,4.60224,2.965888,2.04544,19.67274
33.5,-112.0,0.26,0.19,0.09,0.05,2.043043,1.554854,0.73508,0.397902,2.5568,2.096576,1.329536,0.869312,17.86428
33.5,-112.9,0.22,0.16,0.07,0.04,1.722644,1.263219,0.537727,0.294032,1.02272,0.869312,0.51136,0.357952,14.51358
33.5,-113.8,0.02,0.01,0.0,0.0,0.131036,0.083096,0.0,0.0,0.25568,0.204544,0.102272,0.051136,0.95472
34.4,-109.3,0.06,0.04,0.01,0.0,0.449038,0.308414,0.076704,0.00799,0.460224,0.357952,0.25568,0.153408,3.54348
34.4,-110.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.659072,2.30112,1.53408,1.073856,0.0
34.4,-111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.732928,3.272704,2.147712,1.482944,0.0
34.4,-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.403392,2.04544,1.329536,0.920448,0.0
34.4,-112.9,0.22,0.17,0.07,0.04,1.796152,1.323943,0.574481,0.315605,1.227264,0.971584,0.613632,0.409088,15.21126
34.4,-113.8,0.1,0.08,0.03,0.01,0.828563,0.61523,0.209338,0.089488,0.76704,0.562496,0.306816,0.204544,7.0686
